/mnt/nas05/clusterdata01/home2/f.barbisch/rle-assginment/.venv/lib/python3.12/site-packages/tyro/_parsers.py:344: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
A.L.E: Arcade Learning Environment (version 0.10.1+unknown)
[Powered by Stella]
eval_episode=0, episodic_return=[155.], episodic_length=[595], episodic_time=[0.280992]
eval_episode=1, episodic_return=[20.], episodic_length=[419], episodic_time=[0.202423]
eval_episode=2, episodic_return=[165.], episodic_length=[504], episodic_time=[0.20227]
eval_episode=3, episodic_return=[30.], episodic_length=[286], episodic_time=[0.112822]
eval_episode=4, episodic_return=[20.], episodic_length=[369], episodic_time=[0.148475]
eval_episode=5, episodic_return=[85.], episodic_length=[459], episodic_time=[0.185287]
eval_episode=6, episodic_return=[90.], episodic_length=[662], episodic_time=[0.26673]
eval_episode=7, episodic_return=[10.], episodic_length=[388], episodic_time=[0.153484]
eval_episode=8, episodic_return=[185.], episodic_length=[643], episodic_time=[0.303473]
eval_episode=9, episodic_return=[100.], episodic_length=[538], episodic_time=[0.224142]
eval_episode=10, episodic_return=[150.], episodic_length=[482], episodic_time=[0.194988]
eval_episode=11, episodic_return=[70.], episodic_length=[442], episodic_time=[0.18153]
eval_episode=12, episodic_return=[205.], episodic_length=[736], episodic_time=[0.300813]
eval_episode=13, episodic_return=[315.], episodic_length=[684], episodic_time=[0.279187]
eval_episode=14, episodic_return=[275.], episodic_length=[557], episodic_time=[0.227076]
eval_episode=15, episodic_return=[155.], episodic_length=[607], episodic_time=[0.24658]
eval_episode=16, episodic_return=[70.], episodic_length=[270], episodic_time=[0.107145]
eval_episode=17, episodic_return=[60.], episodic_length=[342], episodic_time=[0.13779]
eval_episode=18, episodic_return=[145.], episodic_length=[480], episodic_time=[0.196694]
eval_episode=19, episodic_return=[70.], episodic_length=[466], episodic_time=[0.201627]
eval_episode=20, episodic_return=[40.], episodic_length=[444], episodic_time=[0.179799]
eval_episode=21, episodic_return=[25.], episodic_length=[388], episodic_time=[0.152995]
eval_episode=22, episodic_return=[155.], episodic_length=[664], episodic_time=[0.264387]
eval_episode=23, episodic_return=[95.], episodic_length=[472], episodic_time=[0.186934]
eval_episode=24, episodic_return=[195.], episodic_length=[598], episodic_time=[0.237848]
eval_episode=25, episodic_return=[10.], episodic_length=[383], episodic_time=[0.152482]
eval_episode=26, episodic_return=[45.], episodic_length=[364], episodic_time=[0.142966]
eval_episode=27, episodic_return=[275.], episodic_length=[680], episodic_time=[0.312539]
eval_episode=28, episodic_return=[10.], episodic_length=[300], episodic_time=[0.119284]
eval_episode=29, episodic_return=[135.], episodic_length=[607], episodic_time=[0.239352]
eval_episode=30, episodic_return=[100.], episodic_length=[576], episodic_time=[0.229659]
eval_episode=31, episodic_return=[125.], episodic_length=[391], episodic_time=[0.155004]
eval_episode=32, episodic_return=[65.], episodic_length=[392], episodic_time=[0.15727]
eval_episode=33, episodic_return=[80.], episodic_length=[441], episodic_time=[0.1774]
eval_episode=34, episodic_return=[75.], episodic_length=[472], episodic_time=[0.190568]
eval_episode=35, episodic_return=[65.], episodic_length=[270], episodic_time=[0.107247]
eval_episode=36, episodic_return=[20.], episodic_length=[269], episodic_time=[0.104992]
eval_episode=37, episodic_return=[185.], episodic_length=[484], episodic_time=[0.195315]
eval_episode=38, episodic_return=[80.], episodic_length=[631], episodic_time=[0.252911]
eval_episode=39, episodic_return=[160.], episodic_length=[626], episodic_time=[0.25178]
eval_episode=40, episodic_return=[200.], episodic_length=[844], episodic_time=[0.33414]
eval_episode=41, episodic_return=[75.], episodic_length=[288], episodic_time=[0.114185]
