eval_episode=0, episodic_return=[125.], episodic_length=[519], episodic_time=[0.245044]
eval_episode=1, episodic_return=[340.], episodic_length=[845], episodic_time=[0.389585]
eval_episode=2, episodic_return=[45.], episodic_length=[251], episodic_time=[0.097348]
eval_episode=3, episodic_return=[195.], episodic_length=[531], episodic_time=[0.210846]
eval_episode=4, episodic_return=[65.], episodic_length=[403], episodic_time=[0.158139]
eval_episode=5, episodic_return=[45.], episodic_length=[283], episodic_time=[0.10865]
eval_episode=6, episodic_return=[50.], episodic_length=[454], episodic_time=[0.181115]
eval_episode=7, episodic_return=[20.], episodic_length=[353], episodic_time=[0.139749]
eval_episode=8, episodic_return=[50.], episodic_length=[335], episodic_time=[0.15282]
eval_episode=9, episodic_return=[55.], episodic_length=[281], episodic_time=[0.109298]
eval_episode=10, episodic_return=[235.], episodic_length=[655], episodic_time=[0.258735]
eval_episode=11, episodic_return=[260.], episodic_length=[1000], episodic_time=[0.393406]
eval_episode=12, episodic_return=[185.], episodic_length=[795], episodic_time=[0.312796]
eval_episode=13, episodic_return=[125.], episodic_length=[519], episodic_time=[0.205502]
eval_episode=14, episodic_return=[415.], episodic_length=[715], episodic_time=[0.283766]
eval_episode=15, episodic_return=[130.], episodic_length=[527], episodic_time=[0.211195]
eval_episode=16, episodic_return=[75.], episodic_length=[347], episodic_time=[0.136023]
eval_episode=17, episodic_return=[220.], episodic_length=[663], episodic_time=[0.262399]
eval_episode=18, episodic_return=[75.], episodic_length=[291], episodic_time=[0.113789]
eval_episode=19, episodic_return=[60.], episodic_length=[298], episodic_time=[0.118428]
eval_episode=20, episodic_return=[130.], episodic_length=[519], episodic_time=[0.208113]
eval_episode=21, episodic_return=[45.], episodic_length=[429], episodic_time=[0.170464]
eval_episode=22, episodic_return=[155.], episodic_length=[607], episodic_time=[0.242268]
eval_episode=23, episodic_return=[340.], episodic_length=[998], episodic_time=[0.386751]
eval_episode=24, episodic_return=[175.], episodic_length=[729], episodic_time=[0.293302]
eval_episode=25, episodic_return=[540.], episodic_length=[744], episodic_time=[0.29265]
eval_episode=26, episodic_return=[75.], episodic_length=[473], episodic_time=[0.191097]
eval_episode=27, episodic_return=[125.], episodic_length=[390], episodic_time=[0.171822]
eval_episode=28, episodic_return=[140.], episodic_length=[481], episodic_time=[0.191067]
eval_episode=29, episodic_return=[55.], episodic_length=[375], episodic_time=[0.148457]
eval_episode=30, episodic_return=[170.], episodic_length=[503], episodic_time=[0.199082]
eval_episode=31, episodic_return=[140.], episodic_length=[526], episodic_time=[0.207767]
eval_episode=32, episodic_return=[145.], episodic_length=[511], episodic_time=[0.202316]
eval_episode=33, episodic_return=[20.], episodic_length=[318], episodic_time=[0.123667]
eval_episode=34, episodic_return=[45.], episodic_length=[347], episodic_time=[0.135787]
eval_episode=35, episodic_return=[155.], episodic_length=[503], episodic_time=[0.19807]
eval_episode=36, episodic_return=[25.], episodic_length=[292], episodic_time=[0.114229]
eval_episode=37, episodic_return=[35.], episodic_length=[367], episodic_time=[0.143948]
eval_episode=38, episodic_return=[125.], episodic_length=[424], episodic_time=[0.167369]
eval_episode=39, episodic_return=[165.], episodic_length=[731], episodic_time=[0.288405]
eval_episode=40, episodic_return=[270.], episodic_length=[876], episodic_time=[0.344155]
eval_episode=41, episodic_return=[135.], episodic_length=[505], episodic_time=[0.198043]
eval_episode=42, episodic_return=[15.], episodic_length=[287], episodic_time=[0.112665]
eval_episode=43, episodic_return=[25.], episodic_length=[380], episodic_time=[0.148754]
eval_episode=44, episodic_return=[75.], episodic_length=[294], episodic_time=[0.115794]
